,R,A,S
MEG 0732,0.0240550701361123,-0.06918177132687803,0.04415706891310807
MEG 0731,0.0240550701361123,-0.06918177132687803,0.04415706891310807
MEG 0743,-0.013027907068147188,-0.06981887231416517,0.045170418130997536
MEG 0742,-0.013027907068147188,-0.06981887231416517,0.045170418130997536
MEG 0741,-0.013027907068147188,-0.06981887231416517,0.045170418130997536
MEG 0813,0.0046660873399335945,0.11779337087606322,0.07185719351836216
MEG 0812,0.0046660873399335945,0.11779337087606322,0.07185719351836216
MEG 0811,0.0046660873399335945,0.11779337087606322,0.07185719351836216
MEG 0822,0.005593680316200028,0.08906518634968229,0.0897438095214954
MEG 0823,0.005593680316200028,0.08906518634968229,0.0897438095214954
MEG 0821,0.005593680316200028,0.08906518634968229,0.0897438095214954
