r,g,b,a
0.9222606689734718,0.5674740484429066,0.44867358708189153,1.0
0.9084198385236448,0.5356401384083045,0.4242214532871972,1.0
0.8945790080738177,0.5038062283737024,0.39976931949250283,1.0
0.8853517877739332,0.48258362168396773,0.38346789696270667,1.0
0.8715109573241061,0.4507497116493656,0.3590157631680123,1.0
0.8622837370242215,0.42952710495963087,0.34271434063821604,1.0
0.8484429065743945,0.39769319492502886,0.3182622068435217,1.0
0.8392156862745098,0.3764705882352941,0.30196078431372547,1.0
0.8226066897347174,0.34325259515570933,0.28627450980392155,1.0
0.8115340253748559,0.32110726643598614,0.27581699346405225,1.0
0.7949250288350636,0.2878892733564017,0.2601307189542485,1.0
0.778316032295271,0.2546712802768166,0.24444444444444444,1.0
0.7672433679354095,0.23252595155709344,0.23398692810457516,1.0
0.7506343713956171,0.19930795847750865,0.21830065359477124,1.0
0.7395617070357554,0.17716262975778546,0.20784313725490194,1.0
0.7229527104959631,0.1439446366782007,0.19215686274509805,1.0
0.7118800461361015,0.12179930795847749,0.18169934640522878,1.0
0.6922722029988465,0.0922722029988466,0.1677047289504037,1.0
0.6692041522491349,0.08489042675893888,0.16401384083044984,1.0
0.6346020761245674,0.07381776239907728,0.15847750865051904,1.0
0.6,0.06274509803921569,0.15294117647058825,1.0
0.5769319492502883,0.05536332179930796,0.14925028835063436,1.0
0.5423298731257209,0.044290657439446365,0.1437139561707036,1.0
0.5192618223760093,0.03690888119953864,0.1400230680507497,1.0
0.48465974625144176,0.025836216839677045,0.1344867358708189,1.0
0.46159169550173007,0.01845444059976932,0.13079584775086506,1.0
0.4269896193771627,0.007381776239907739,0.12525951557093426,1.0
0.403921568627451,0.0,0.12156862745098039,1.0
